# T[OIII], T[OIII] plus err, T[OIII] minus err, T[OII], T[OII] plus err, T[OII] minus err
1.812989037812811148e+04,3.289362836321743089e+01,4.922877903377593611e+01,1.569092326468967804e+04,2.302553985425220162e+01,3.446014532364461047e+01
1.358706300866288075e+04,1.672676404305675533e+02,1.530631784973920730e+02,1.251094410606401652e+04,1.170873483013965597e+02,1.071442249481751787e+02
1.074429663470805099e+04,1.112958730228256172e+03,1.247394823615602945e+03,1.052100764429563424e+04,7.790711111597811396e+02,8.731763765309224254e+02
1.864650321830289613e+04,1.782985337801983405e+02,1.766097846732045582e+02,1.605255225281202729e+04,1.248089736461388384e+02,1.236268492712442821e+02
1.120933190190415553e+04,5.889634209011965140e+02,5.619755548814682697e+02,1.084653233133290814e+04,4.122743946308382874e+02,3.933828884170270612e+02
1.509334565702500549e+04,1.512299610527097684e+02,1.700319972720444639e+02,1.356534195991750312e+04,1.058609727368966560e+02,1.190223980904302152e+02
1.769161322122041383e+04,1.452710614416930184e+03,1.341435048889747122e+03,1.538412925485428968e+04,1.016897430091854403e+03,9.390045342228240770e+02
1.328266096372853099e+04,8.453848375176312402e+01,8.998374000490366598e+01,1.229786267460997078e+04,5.917693862623491441e+01,6.298861800343183859e+01
8.266920156556019720e+03,8.610377757051846856e+02,1.173629762687506627e+03,8.786844109589212167e+03,6.027264429936294619e+02,8.215408338812530928e+02
1.063289202725947143e+04,1.291830088886483281e+03,1.609419222739401448e+03,1.044302441908163019e+04,9.042810622205379332e+02,1.126593455917582105e+03
1.636500377110404224e+04,2.226360793034837116e+01,1.482559877337553189e+01,1.445550263977282884e+04,1.558452555124313221e+01,1.037791914136323612e+01
9.511216994570748284e+03,1.183336654029193596e+03,1.590526372507421911e+03,9.657851896199523253e+03,8.283356578204347898e+02,1.113368460755194974e+03
