# mass, sfr, Z, Z_err_up, Z_err_down, log_S_O, log_S_O_err_up, log_S_O_err_down, log_Ar_O, log_Ar_O_err_up, log_Ar_O_err_down, log_Ne_O, log_Ne_O_err_up, log_Ne_O_err_down, log_Fe_O, log_Fe_O_err_up, log_Fe_O_err_down
6.309999999999999609e+00,-7.199999999999999734e-01,7.694089874382179062e+00,5.964724110056599709e-04,6.982414761161385378e-04,-1.427218393700117938e+00,2.065072455967785058e-03,2.410275386332662393e-03,-2.204590659228994998e+00,3.689782352807870983e-03,3.370560752597222699e-03,-7.343529411349553060e-01,1.328377059713260972e-03,1.291790978777407990e-03,2.238746172736592599e-01,1.105442787254077019e-01,1.398386569106715716e-01
8.410000000000000142e+00,4.199999999999999845e-01,7.926386097280908594e+00,3.827796486407774364e-03,4.912216175173595746e-03,nan,nan,nan,-2.266677256146733654e+00,1.349975633199906010e-02,1.369329555486586102e-02,-6.018087316953042443e-01,8.963427557290669714e-03,8.172224816041934181e-03,-1.151531214623727761e+00,5.643813505297369526e-02,6.259350363850087196e-02
9.589999999999999858e+00,1.570000000000000062e+00,7.982795391807350427e+00,8.869265580941223387e-03,5.364381476994696876e-03,nan,nan,nan,-1.886933400198343103e+00,4.632273344393913334e-02,5.197377497076947211e-02,-3.126297592941285619e-01,1.958882171250289281e-02,1.838513424310860012e-02,-1.549335652848004230e+00,7.648589936064807693e-02,7.194345354396408654e-02
6.219999999999999751e+00,-1.129999999999999893e+00,7.502795380207160747e+00,nan,3.163016405988079791e-03,-1.995126603720832392e+00,nan,3.731696757043839567e-03,-2.395587225946366861e+00,3.225663813813492431e-03,3.180911794167519749e-03,-6.932262335000857201e-01,6.554261955078629492e-03,6.734500404564158250e-03,-1.177384448407798434e+00,nan,nan
9.560000000000000497e+00,1.219999999999999973e+00,8.091890878878309934e+00,1.817247949962318490e-02,6.317313407137663608e-03,nan,nan,nan,-2.083115713777801581e+00,3.015940551956969307e-02,3.146901826578354933e-02,-4.041731829026206091e-01,2.056083745948878577e-02,1.680294412318610736e-02,-1.485783852485339729e+00,8.194160566090195885e-02,7.933489341950680784e-02
8.800000000000000711e+00,1.419999999999999929e+00,7.857261042331090906e+00,5.700208840003967437e-03,7.685676892205743974e-03,nan,nan,nan,-2.129744049108662995e+00,1.291655635617375980e-02,1.354880605324186409e-02,-5.312572398323528455e-01,9.599028105124614643e-03,1.060807135307014447e-02,-7.726037750049415953e-01,5.583020150831737721e-02,5.574540609494859494e-02
6.480000000000000426e+00,-1.939999999999999947e+00,7.414037750214160560e+00,nan,5.646602996321587430e-03,-1.207379031678648351e+00,nan,4.283962193683603370e-02,-1.879184176699796094e+00,8.246807042025257328e-02,9.149393369815357613e-02,-6.481254557704227981e-01,2.783467136218198759e-02,2.630408362489937771e-02,-1.337851566408567283e+00,nan,nan
7.610000000000000320e+00,3.900000000000000133e-01,8.007553349168258450e+00,4.272916307323236171e-03,7.583241722242220137e-03,nan,nan,nan,-2.314995748884589144e+00,8.311933905511898618e-03,8.379658215717669320e-03,-7.426867169309608885e-01,7.465267408427976592e-03,7.873085415507062937e-03,-1.565572835864879886e-01,3.502732671468936076e-02,3.644540771474384655e-02
9.000000000000000000e+00,9.499999999999999556e-01,8.577051934676088507e+00,1.283895446272004075e-02,1.472351910166903519e-02,nan,nan,nan,-2.284273675635254630e+00,6.119488618716413530e-02,7.163018197630741102e-02,-2.448008278623585443e-01,2.503774895271256712e-02,2.510458809523969520e-02,-1.179172525002031513e+00,8.312674073549101983e-02,8.777793592305888071e-02
1.009999999999999964e+01,1.000000000000000000e+00,8.397351547609074984e+00,2.157804093266308537e-02,2.478172695001550074e-03,nan,nan,nan,-1.933231925432095100e+00,2.176016308713971809e-02,1.794858568747072572e-02,1.819482329378944441e-01,2.684793806128294921e-02,2.283074232195358988e-02,-2.124521321070490742e+00,1.233822284257878599e-01,1.511415510151257746e-01
7.519999999999999574e+00,3.699999999999999956e-01,7.733720595254881758e+00,nan,2.833071182429939042e-04,-1.706707322833334262e+00,nan,8.051408121203516323e-04,-2.283340567068056437e+00,2.283329076014790123e-03,2.152585162096755985e-03,-7.276634097247641764e-01,7.195023749104225959e-04,6.924454238565704760e-04,-7.231729225111624970e-01,nan,nan
9.779999999999999361e+00,1.580000000000000071e+00,8.279279735730888490e+00,1.602808526913081927e-02,4.883598201074484599e-03,nan,nan,nan,-1.789662835835908794e+00,4.633564803383243003e-02,4.280961087988899294e-02,-9.080506020283998780e-03,1.952143692968445754e-02,1.883040373375985399e-02,-1.703808570561241575e+00,7.592325148534009860e-02,7.362590349210020035e-02
