# NII, NII_err, SII, SII_err, OI, OI_err, OIII, OIII_err
-1.829822234061866837e+00,1.291306827343350304e-02,-1.105020674011289561e+00,4.998146020662173547e-03,-1.846528433782065548e+00,1.428850797883250354e-02,2.833393370493313967e-01,4.385920892378002839e-03
-7.092843723764373776e-01,8.225435738718214762e-03,-5.746991372012559829e-01,7.919239179281632734e-03,-1.472284312014892738e+00,2.280010812292871530e-02,3.253572560967165073e-01,9.307599552048222841e-03
-1.686784240536528534e+00,1.844026317049689799e-03,-1.144723189645258321e+00,8.560604398418949611e-04,-1.903586439646847150e+00,3.081195292126838025e-03,7.970842515321621136e-01,7.707185006666028917e-04
-1.585814214385497189e+00,3.223839077610921641e-03,-1.116121230556553545e+00,2.300000011046938065e-03,-2.140052116181101471e+00,6.427974301917526063e-03,6.747788749345767778e-01,2.018019053633945611e-03
-1.121015838139029608e+00,3.247263357514236330e-03,-8.662490489025249651e-01,2.850199480563324252e-03,-1.981287875607029347e+00,9.700178125549487745e-03,4.714598130832388101e-01,3.109030008160023045e-03
-1.145331782325232473e+00,8.764565537143222465e-03,-1.095071095102032155e+00,7.459886601281855677e-03,-1.902468045831164023e+00,1.064711331847850717e-02,7.814445508818690378e-01,6.712160814718397782e-03
-2.046038392266942285e+00,1.170351955436180549e-02,-1.380162946250757638e+00,4.792434071639665484e-03,-2.306194485825895146e+00,1.750782175896476237e-02,7.830011553052053097e-01,2.768370882160256334e-03
nan,nan,nan,nan,nan,nan,8.341631364466314258e-01,5.626412550283905155e-03
-1.438824826153479730e+00,3.063242386216225542e-03,-1.082400447247422681e+00,2.493892245477026016e-03,-2.070784504909028545e+00,5.827725461614927452e-03,7.651305361551871131e-01,2.477675139972388210e-03
-2.303877850916004721e+00,4.215359441132399826e-03,-1.907276716082153101e+00,2.671066130598029071e-03,-2.675029809369308342e+00,1.007376825531863980e-02,8.570775310427573013e-01,5.030066827609185097e-04
-1.454756788369647280e+00,1.030359387222973960e-02,-1.078258308940315047e+00,6.913794884622775222e-03,-1.965329093573407793e+00,2.287005927562403215e-02,6.915942678231504770e-01,4.243971724856303480e-03
-5.553455969525323832e-01,5.998468140484284651e-03,-7.553382801400008173e-01,6.741634413921829792e-03,-1.654272527345064914e+00,2.253097729879495817e-02,2.726446124600874210e-01,7.790474851947073141e-03
-2.276274997509866616e+00,1.727885660907533530e-03,-1.632131135139509803e+00,1.461788845684324541e-03,-2.338010506365089114e+00,1.639273775109623132e-02,6.242422949384773823e-01,2.894688373192514513e-03
-8.599523489578356772e-01,1.118750908532341673e-02,-7.541100197796966054e-01,1.095269074861881901e-02,-1.664804333050355467e+00,3.412950251408429503e-02,4.663789981836983234e-01,1.037405438561773974e-02
-1.190527931016064356e+00,9.205635385442291138e-03,-1.128813327551710044e+00,1.043615574806715761e-02,-1.810015247700094365e+00,2.176495601785890729e-02,7.731720027094226566e-01,6.343012174219944330e-03
-1.787156750838818420e+00,6.137009832041543517e-02,-1.092455432307974483e+00,1.799989571819241713e-02,-1.944856925893941213e+00,8.461077518286039267e-02,3.828128819630559621e-01,5.768708553596602583e-03
-1.729888481424677993e+00,7.023704573789046196e-03,-1.273614916404546937e+00,4.526502436181152784e-03,-2.106836209117843861e+00,9.016078506968555964e-03,8.268235921733642080e-01,5.933583506165965998e-03
-1.029555705179212799e+00,1.826537493628868289e-02,-8.045046622084018884e-01,1.475607344098634789e-02,-1.603975456795624144e+00,3.851571774752119565e-02,5.773170794669969519e-01,1.376544625199912705e-02
-6.297547460120352936e-01,8.744350901329292144e-03,-6.621204286584604359e-01,9.266147162252706682e-03,-1.631431458516283461e+00,2.850115558363846419e-02,2.654378057704883109e-01,1.040738625768053774e-02
-2.038097460193414978e+00,1.446291173540412449e-03,-1.425891646277861469e+00,5.434034038047565879e-04,-2.228126125956614967e+00,2.198244385491801046e-03,7.497501914629042252e-01,2.481994249543661296e-04
-4.919014827266391943e-01,6.889029212846011288e-03,-7.624523886947125462e-01,8.550076437636774246e-03,-1.577593588949677716e+00,2.488303848699857310e-02,2.522264990402419138e-01,8.631771370726222178e-03
